import time: self [us] | cumulative | imported package
import time:      1444 |       1444 |               torch.cuda._memory_viz
import time:      1637 |       3081 |             torch.cuda.memory
import time:       957 |        957 |             torch.cuda.random
import time:      1245 |       1245 |               torch.cuda.amp.autocast_mode
import time:       853 |        853 |               torch.cuda.amp.common
import time:       895 |        895 |               torch.cuda.amp.grad_scaler
import time:      1080 |       4071 |             torch.cuda.amp
import time:       999 |        999 |             torch.cuda.jiterator
import time:      1013 |       1013 |             torch.cuda.nvtx
import time:       773 |        773 |             torch.cuda.profiler
import time:       718 |        718 |             torch.cuda.sparse
import time:       907 |        907 |             torch.cuda.tunable
import time:      8914 |      27368 |           torch.cuda
import time:       794 |        794 |               torch.sparse._semi_structured_conversions
import time:       799 |        799 |               torch.sparse._semi_structured_ops
import time:      1301 |       2893 |             torch.sparse.semi_structured
import time:       977 |       3870 |           torch.sparse
import time:      1187 |       1187 |           torch._compile
import time:       704 |        704 |           torch._VF
import time:      1228 |       1228 |                 torch.nn.parameter
import time:      1787 |       1787 |                     torch._prims_common
import time:       964 |        964 |                         torch.utils.backcompat
import time:      1209 |       1209 |                         torch.utils.collect_env
import time:       838 |        838 |                               _queue
import time:      1188 |       2026 |                             queue
import time:      1015 |       1015 |                                 cmd
import time:      1640 |       1640 |                                 bdb
import time:      1122 |       1122 |                                   codeop
import time:      1132 |       2254 |                                 code
import time:      1134 |       1134 |                                 pprint
import time:      2051 |       8091 |                               pdb
import time:       778 |        778 |                                 torch.utils._typing_utils
import time:      2522 |       2522 |                                     _hashlib
import time:       131 |        131 |                                     _blake2
import time:      1549 |       4201 |                                   hashlib
import time:      1162 |       1162 |                                   torch.monitor
import time:       595 |        595 |                                     torch.distributed.logging_handlers
import time:      1015 |       1610 |                                   torch.distributed.c10d_logger
import time:       869 |        869 |                                   torch.distributed.constants
import time:      1018 |       1018 |                                   torch.distributed.rendezvous
import time:      3685 |      12544 |                                 torch.distributed.distributed_c10d
import time:      1637 |      14958 |                               torch.distributed.device_mesh
import time:       758 |        758 |                               torch.distributed.remote_device
import time:      5733 |      29538 |                             torch.distributed
import time:       849 |        849 |                                             torch.utils.data.datapipes._hook_iterator
import time:      1179 |       2028 |                                           torch.utils.data.datapipes._typing
import time:       931 |        931 |                                             torch.utils._import_utils
import time:       901 |        901 |                                               torch.utils.data.datapipes.utils
import time:      1758 |       2658 |                                             torch.utils.data.datapipes.utils.common
import time:      1177 |       1177 |                                             torch.utils.data.dataset
import time:      1374 |       6138 |                                           torch.utils.data.datapipes.datapipe
import time:      1182 |       9347 |                                         torch.utils.data.datapipes._decorator
import time:       694 |        694 |                                           torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       778 |       1472 |                                         torch.utils.data.datapipes.dataframe.structures
import time:      1723 |      12541 |                                       torch.utils.data.datapipes.dataframe.dataframes
import time:       999 |        999 |                                       torch.utils.data.datapipes.dataframe.datapipes
import time:      1172 |      14710 |                                     torch.utils.data.datapipes.dataframe
import time:       981 |        981 |                                             torch.utils.data._utils.collate
import time:       776 |        776 |                                             torch.utils.data._utils.fetch
import time:       752 |        752 |                                             torch.utils.data._utils.pin_memory
import time:       776 |        776 |                                             torch.utils.data._utils.signal_handling
import time:      2306 |       2306 |                                             torch.utils.data._utils.worker
import time:       826 |       6413 |                                           torch.utils.data._utils
import time:        53 |       6466 |                                         torch.utils.data._utils.collate
import time:      1141 |       7607 |                                       torch.utils.data.datapipes.iter.callable
import time:      1099 |       1099 |                                         torch.utils.data.sampler
import time:      1342 |       2440 |                                       torch.utils.data.datapipes.iter.combinatorics
import time:      1491 |       1491 |                                       torch.utils.data.datapipes.iter.combining
import time:       713 |        713 |                                         torch.utils.data.datapipes.iter.utils
import time:       841 |       1553 |                                       torch.utils.data.datapipes.iter.filelister
import time:       794 |        794 |                                       torch.utils.data.datapipes.iter.fileopener
import time:       872 |        872 |                                         torch.utils.data.datapipes.iter.sharding
import time:      1070 |       1941 |                                       torch.utils.data.datapipes.iter.grouping
import time:       785 |        785 |                                         torch.utils.data.datapipes.utils.decoder
import time:       838 |       1622 |                                       torch.utils.data.datapipes.iter.routeddecoder
import time:      1228 |       1228 |                                       torch.utils.data.datapipes.iter.selecting
import time:      1026 |       1026 |                                       torch.utils.data.datapipes.iter.streamreader
import time:      1173 |      20872 |                                     torch.utils.data.datapipes.iter
import time:      1050 |       1050 |                                       torch.utils.data.datapipes.map.callable
import time:       867 |        867 |                                       torch.utils.data.datapipes.map.combinatorics
import time:      1437 |       1437 |                                       torch.utils.data.datapipes.map.combining
import time:      1197 |       1197 |                                       torch.utils.data.datapipes.map.grouping
import time:       834 |        834 |                                       torch.utils.data.datapipes.map.utils
import time:      1368 |       6751 |                                     torch.utils.data.datapipes.map
import time:       807 |      43138 |                                   torch.utils.data.datapipes
import time:        56 |      43194 |                                 torch.utils.data.datapipes.iter
import time:        51 |      43245 |                               torch.utils.data.datapipes.iter.sharding
import time:       807 |        807 |                               torch.utils.data.graph
import time:       943 |      44993 |                             torch.utils.data.graph_settings
import time:      1443 |      77998 |                           torch.utils.data.dataloader
import time:       777 |        777 |                           torch.utils.data.distributed
import time:       773 |      79548 |                         torch.utils.data
import time:       719 |        719 |                         torch.utils.deterministic
import time:       817 |        817 |                         torch.utils.hooks
import time:       875 |        875 |                         torch.utils.backend_registration
import time:       690 |        690 |                         torch.utils.cpp_backtrace
import time:       786 |        786 |                         torch.utils.throughput_benchmark
import time:       946 |      86550 |                       torch.utils
import time:      1491 |       1491 |                       torchgen
import time:      1179 |       1179 |                           torchgen.code_template
import time:      1634 |       2812 |                         torchgen.utils
import time:     23314 |      26126 |                       torchgen.model
import time:      3327 |     117493 |                     torch.utils._python_dispatch
import time:      2082 |     121361 |                   torch.nn.modules.module
import time:       840 |        840 |                         torch.distributed.rpc
import time:      2066 |       2066 |                                     pickletools
import time:       947 |        947 |                                     torch.package._digraph
import time:       817 |        817 |                                     torch.package._importlib
import time:       761 |        761 |                                     torch.package._mangling
import time:       899 |        899 |                                       torch.package.importer
import time:       943 |       1842 |                                     torch.package._package_pickler
